Nit;Fecha;Comentario;Evidencias 
800175594;21/10/2021;       Se envia carta solicitando reintegros a 8 créditos informados por la entidad, no tener propiedad de documentación.;No
800175594;28/10/2021;Se lleva a cabo reunión ;No
800175594;12/11/2021;Se realiza reunión con la entidad y esta estará llegando a un acuerdo con el área comercial por los documentos que no se encontraron (8 créditos), a espera de una comunicación. ;No
800175594;16/11/2021;Se comunica la señora Maida, informa que aun siguen la revisión de los créditos, solicita comunicarme la ultima semana de noviembre para validar los casos, se programa gestión. ;No
800175594;10/12/2021;Me comunico con la señora Maida, informa que continuaron con la busqueda de los documentos y se encontraron algunos, dice estar enviandolos para proceder con el paso a seguir, se programa gestión. ;No
800175594;17/12/2021;Me comunico con la señora maida, informa que continuan con la busquedad de los documentos solicitados, informa que antes de finalizar mes ya nos tienen una respuesta, ya que esta validando documentos, se programa gestion. ;No
800175594;27/12/2021;Me comunico con la señora maida, informa que hoy estan haciendo el envio en fisico por servientrega de la documentacion de los creditos vencidos, se programa gestion para enero.;No
800175594;10/01/2022;SE ENVIO DOCUMENTACION A LAS OFICINAS DE GARANTIAS COMUNITARIAS A ESPERA DE RESPUETA POR EL DOCTOR ESTEBAN. ;No
800175594;24/01/2022;SE ENVIO CORREO SOLICITANDO EL REINTEGRO DE LOS 10 CREDITOS EN PROCESO JURIDICO Y NO INCLUYERON EL VALOR RECLAMADO DE GC, SE PROGRAMA GESTION ;No
800175594;31/01/2022;Me comunico con la señora Maida, informa que va hablar con la gerente, y comentarles respecto a la solicitud de reintegros, informa que me este comunicando con ella mañana a esta misma hora, se programa gestion. ;No
800175594;1/02/2022;Me comunico con la señora maida, informa que la gerente quiere agotar todas las opciones posibles, pero no quiere enviar el reintegro de las obligaciones ya vencidas,  informa que hoy tendra una reunion con un abogado ante el juzgado, y seguir en la busquedad de la documentacion ya que no ha sido facil la busquedad de estas, se programa gestio para la proxima semana;No
800175594;10/02/2022;NO HA RECIBIDO RESPUESTA DEL JUZGADO, ESTAMOS PENDIENTES, SIN EMBARGO QUIEREN PROGRAMAR UNA REUNION PARA MIRAR QUE POSIBILIDADEES HAY PARA PODER ENVIAR LA DOCUMENTACION, TENIENDO EN CUENTA QUE NO ESTAN DISPUESTOS A ENVIAR REINTEGRO DE LAS RECLAMACIONES;No
800175594;21/02/2022;JUEVES  24 DE FEBRERO A LAS  10am REUNION ;No
800175594;24/02/2022;NO FUE POSIBLE LA REUNION YA QUE SE ENCUENTRAN EN TEMAS DE ASAMBLEAS Y CAMPAÑAS, LLAMAR MAÑANA PARA CORROBORAR O REPROGRAMAR LA REUNION;No
800175594;25/02/2022;REUNION 07/03/2022 A LAS 10 AM LLAMAR MAÑANA PARA CONFIRMAR;No
800175594;9/03/2022; DEBEN DE ENVIAR EL MANDAMIENTO DE PAGO  EN DONDE ESTE EL ESTADO DE LAS OBLIGACIONES, Y ANEXO 1 ESTO LO SOLICITA EL DR ESTEBAN, la gerente informa que porque estan pidiendo la documentacion despues de mucho tiempo y el Dr responde a todas sus inquietudes y dice que son 16 creditos vencidos  en donde yo le respondo que son 20 ya que cada mes van venciendo creditos.;No
800175594;22/03/2022;Me comunico con la señora Mayda, me informa que la proxima semana empieza hacerle seguimiento a todo el proceso que tenemos pendiente, y tambien acordariamos una fecha limite para el envio de la documentacion que no esta en proceso juridico. ;No
800175594;29/03/2022;Me comunico con la señora Mayda, Me informa que le de un plazo para hacer envio de la documentacion hasta el 11/04/2022 en caso tal de que no envien la documentacion se procedera hacer el reintegro de estas obligaciones. ;No
800175594;3/05/2022;Me comunico con la Dra. Mayda me indica que ya tiene documentos para enviar pero les faltarian la documentacion de los créditos que están a punto de vencerse, me pide que si podíamos programar una reunión virtual para verificar que documentación falta y cual ya se envio para estar alineados con todo. Le indique que iba a preguntar cuando podíamos hacer la reunión y que me iba a estar comunicando con ellla para la fecha de la reunión ;No
800175594;12/05/2022;Se logra comunicación pero como estaba resolviendo otro asunto con nosotros también me dijo que ella me marcaba. Esperara llamada o llamar mañana ;No
800175594;13/05/2022;Me comunico con la Dra. Mayda le informo que la reunión deberá quedar para la semana después del 23 de mayo. Me dice que ella el lunes 23 no va a estar que si se puede hacer el 24 de mayo, le digo que voy a validar y que cualquier cosa le avisaba la hora. Se programa gestión. ;No
800175594;17/05/2022;El abogado informa que puede el 24 de mayo a las 10:00 AM. Me comunico con secretaria se le dejo un mensaje a las Dra. Mayda de que la reunión sería el 24/05 a las 10 AM. Se le dejo número para cualquier cosa;No
800175594;23/05/2022;Me comunico con secretaria me informan que la Dra. Mayda no se encuentra el día de hoy y que le dejara el comunicado que ellos se encargaban de dárselo. Le informo que era para recordarle sobre la reunión del día de mañana (24/05/2022) a las 10:00 AM, el muchacho me dijo que le enviara el enlace por medio del correo, ya fue enviado. Llamar mañana para recordarle ;No
800175594;24/05/2022;En la reunión solicitada para el día de hoy a las 10:00 AM, estuvo presente el Dr. Esteban, Daniel, mi persona y el Dr. Jhon Jairo de la entidad COFACENEIVA. La Dra. Maida que fue la que principalmente solicito dicha reunión no pude asistir debido a problemas de viaje. El Dr. Jhon Jairo es nuevo en la entidad y quiso saber todo lo de GC y como serían los procesos, el cual el Dr. Esteban le explica desde su área jurídica ya que la que se encargada del convenio comercial no se encuentra. Yo había realizado un pequeño informo donde se podía ver las reclamaciones tanto en cuotas como totales de los créditos que están a punto de vencerse, donde se especifica cuantos créditos hay vencidos, cuales son los que están a punto de vencerse y cuales documentos hacían faltan de obligaciones que han enviado con anterioridad, el Dr. Jhon Jairo me indico que se lo enviara al correo para que cuando la Dra. Maida este lo pueden ver detalladamente. Cualquier duda se estarían comunicando con nosotros. ;No
800175594;7/06/2022;Me comunico con la Dra. Mayda me informa que apenas termine una reunión se va a sentar con el Dr. Jon Jairo que es la persona que entró nueva que también estará pendiente del proceso, que de igual forma le estaban dando una revisada y lo que les falta serían los créditos que están en el juzgado. Que en una de las reuniones con el abogado les dijo que relacionaran eso y ya nosotros hacemos el proceso de forma interna. ;No
800175594;21/06/2022; Me comunico con el Dr. Jhon Jairo le pregunto cómo seguía el proceso de la documentación, me informa que aun no ha revisado ya que tiene que hacer varios informes pero que cuando termine los informes de hoy se pondría con eso. Me pidió algún numero para él poder comunicarse el día de mañana y hablar sobre los documentos con mas calma. ;No
800175594;28/06/2022;Me comunico con el Dr. Jhon Jairo me dijo que, si le podía enviar una base de datos actualizada para ellos ir buscando y organizando todo, que en la tarde lo volviera a llamar para confirmar y mirar bien todo. ;No
800175594;7/07/2022;Se comunica el Dr. Jhon Jairo me manda un archivo de Excel para que estemos al tanto del estado de los titulares donde estamos solicitando documentos, me solicito que le enviara un archivo de los titulares los cuales nosotros tenemos documentos y cuales harían falta para no hacer trabajo doble. Me informa que mañana lo llamé a las 10 AM para continuar con los documentos, me di a la tarea de busca si en los pagarés que nosotros tenemos forma parte la carta de instrucciones al ser un poco viejos los créditos y él se dio la tarea de ver si en esos procesos jurídicos se incluyo el valor reclamado de GC. ;No
800175594;8/07/2022;Se le envió al correo del Dr. Jhon Jairo los que solicito en la llamada del día de ayer, se le envió dos documentos de Excel donde se evidencia los documentos de los deudores que nosotros tenemos acá en la organización actualizada, y también el mismo archivo que paso el Dr. Pero especificando si no necesita carta de instrucciones y cuales son los que tenemos acá y actualizando los documentos que ellos enviaron. Que de igual forma podíamos coordinar una llamada si tenia alguna duda. ;No
800175594;8/07/2022;Me comunico con el Dr. Jhon Jairo le informo sobre el correo que le envié sobre los documentos que ya teníamos, me informa que ya se pondrá con ese proceso para enviarnos todo en un solo paquete. ;No
800175594;22/07/2022;Me comunico con el Dr. John Jairo me informa que estaba esperando a que la gerente le firmara los endosos, pero esta incapacitada por COVID, entonces debemos esperar a que la gerente se recupere para firmar los endosos y de esa forma enviarnos el paquete que lo tiene casi listo. ;No
800175594;28/07/2022;Llega documentación incompleta de 7 titulares ;No
800175594;5/08/2022;Me comunico con el Dr. Jhon Jairo me informa que estaban buscando los otros documentos que faltaban, que como estaban organizando el archivo entonces estaban aprovechando de buscar todo eso, también me pidió si había nuevos que por favor le enviara la base de datos actualizada para él tener presente esos. ;No
800175594;23/08/2022;Me comunico con el Dr. Jhon Jairo donde me informan que está en la creación de endosos de las obligaciones que hacen falta y terminar de buscar los documentos faltantes. Quedamos en que le enviaría una sola base de datos para que de esa manera se comprenda mejor. ;No
800175594;26/08/2022;La entidad solicito reunión en donde estuvieron el Dr. Y la Dra. Jhon Jairo y Maida, María Camila y mi persona. Se hablo de tenemos de recuperación y sobre las reclamaciones aclarando dudas al respecto.;No
800175594;12/09/2022;Me comunico con el Dr. Jhon Jairo me informa que el día de hoy no me podía atender ya que estaba realizando un informe, que él mañana se estaría comunicando conmigo para hablar sobre el proceso de los documentos. ;No
800175594;25/10/2022;Se envía correo al Dr. Jhon Jario, en espera de respuesta;No
800175594;28/10/2022;Se envía nuevamente correo al Dr. Jhon Jario, en espera de respuesta;No
800175594;16/11/2022;Me comunico con la entidad en donde me informan que en este momento el Dr. Jhon Jairo se encuentra en una reunión que podría volver a llamar mas o menos a las 4:30 pm. ;No
800175594;16/11/2022;No se obtuvo comunicación. ;No
800175594;16/11/2022;Me comunico con el Dr. Jhon Jairo le pregunto como iba con los documentos solicitados y me pide el favor de enviarle nuevamente la base actualizada al correo nuevo de él (coord.operativa@cofaceneiva.com) para de esa forma ponerse a trabajar en ello el día de mañana y no se le pierda la información. ;No
800175594;17/11/2022;Se envía archivo solicitado por medio del correo ;No
800175594;11/01/2023;Llega documentación completa de 3 obligaciones;Evidencia 11-01-2023,Evidencia 24-05-2024
800175594;20/01/2023;Se le escribe al Sr. Jhon Jairo por medio del whatsapp de operaciones para ver si era posible una reunión o llamada para hablar sobre los documentos y de esa forma poder alinearnos con todo y terminar este proceso lo más rápido posible. ;No
800175594;16/02/2023;Me comunico con el Sr. Jhon y me pide enviar nuevamente el correo con los datos actualizados, que está terminando unas cosas y la próxima semana comienza a buscar los documentos de garantías. SE LE ENVÍA CORREO;No
800175594;24/03/2023;Se le envía mensaje de whatsapp al Sr. Jairo;No
800175594;12/04/2023;No se logra comunicación ;No
800175594;17/04/2023;Me comunico con el Sr. Jhon, me solicita enviar nuevamente el correo actualizado ;No
800175594;3/05/2023;Se envía mensaje de whatsapp;No
800175594;5/05/2023;Se lleva a cabo reunión donde nos explica el estado de cada deudor, nos envía correo. Pendiente de responder el lunes;No
800175594;8/05/2023;SE RECIBEN DOCUMENTOS DE TRES DEUDORES, AÚN SE ENCUENTRAN VIGENTES;No
800175594;9/05/2023;Se revisa el estado de cada deudor y la documentación enviada, se envía mensaje de whatsapp preguntando por el estado del señor Carlos Florez y el señor Yanid Castañeda ya que se encuentran relacionados en un documento jurídico, se valida si hcieron el cobro juridico juntos. Informa que está en capacitación, igual envío foto de los documentos ;No
800175594;24/05/2023;Se envía   mensaje de whatsapp;No
800175594;13/06/2023;Informa que lo revisará nuevamente y mañana se comunicará ;No
800175594;3/01/2024;Se revisa correo de operaciones para verificar datos de BBDD, se sugiere mantener comunicación con la misma persona ;No
800175594;24/05/2024;Se envia correo recordando el envio de la documentación.;Evidencia 24-05-2024
800175594;19/06/2024;Se envía mensaje por whatsApp solicitando respuesta del correo;Evidencia 19-06-2024
800175594;24/06/2024;Se reciben 13 documentos, 2 endosos de documentos que ya estaban acá, 1 endoso de documentos que no están acá;Evidencia 24-06-2024
